ObjectID	X	Y	Z	Timepoint	Radius	Precursors	Color
54	292.171875	195.0546875	71	243	10	"{11, 45, 48, 49}"	"RGBColor[0.6953382845658964, 0.7427032488555375, 0.30508531343823997]"
54	293.609375	210.1484375	52	300	10	"{11, 45, 48, 49}"	"RGBColor[0.6953382845658964, 0.7427032488555375, 0.30508531343823997]"
55	317.328125	177.8046875	83	191	10	"{11, 45, 47}"	"RGBColor[0.2453040544923633, 0.3362276878588283, 0.8074427055602295]"
55	312.296875	188.5859375	73	270	10	"{11, 45, 47}"	"RGBColor[0.2453040544923633, 0.3362276878588283, 0.8074427055602295]"
56	317.328125	187.1484375	88	191	10	"{11, 45, 47}"	"RGBColor[0.3683001111382303, 0.6609553455834756, 0.6338121099918332]"
56	309.9609375	197.3007813	83	255	10	"{11, 45, 47}"	"RGBColor[0.3683001111382303, 0.6609553455834756, 0.6338121099918332]"
58	321.640625	194.3359375	79	104	10	"{11, 46}"	"RGBColor[0.28966444441949046, 0.5451761169931457, 0.7653415566363688]"
58	319.484375	200.0859375	77	158	10	"{11, 46}"	"RGBColor[0.28966444441949046, 0.5451761169931457, 0.7653415566363688]"
59	299.359375	196.4921875	79	104	10	"{11, 46}"	"RGBColor[0.25307590892789217, 0.4124299543396285, 0.810551854753762]"
59	297.203125	202.2421875	77	161	10	"{11, 46}"	"RGBColor[0.25307590892789217, 0.4124299543396285, 0.810551854753762]"
60	298.640625	207.9921875	74	162	10	"{11, 46, 59}"	"RGBColor[0.43888465465845955, 0.11055391671971873, 0.5548982914539935]"
60	297.921875	217.3359375	59	211	10	"{11, 46, 59}"	"RGBColor[0.43888465465845955, 0.11055391671971873, 0.5548982914539935]"
61	297.203125	195.0546875	79	162	10	"{11, 46, 59}"	"RGBColor[0.28726848406245764, 0.5392212250446452, 0.7691261950745465]"
61	290.734375	209.4296875	65	240	10	"{11, 46, 59}"	"RGBColor[0.28726848406245764, 0.5392212250446452, 0.7691261950745465]"
62	292.171875	199.3671875	60	241	10	"{11, 46, 59, 61}"	"RGBColor[0.2742666829285616, 0.5069067000313329, 0.7896637286745694]"
62	290.015625	210.1484375	37	300	10	"{11, 46, 59, 61}"	"RGBColor[0.2742666829285616, 0.5069067000313329, 0.7896637286745694]"
63	295.046875	215.8984375	67	241	10	"{11, 46, 59, 61}"	"RGBColor[0.3055137955099696, 0.12749039781960186, 0.6740923064481511]"
63	294.328125	242.4921875	42	300	10	"{11, 46, 59, 61}"	"RGBColor[0.3055137955099696, 0.12749039781960186, 0.6740923064481511]"
65	295.765625	207.9921875	57	212	10	"{11, 46, 59, 60}"	"RGBColor[0.7404541495780804, 0.7341107647897241, 0.2839980895585521]"
65	293.609375	218.7734375	50	264	10	"{11, 46, 59, 60}"	"RGBColor[0.7404541495780804, 0.7341107647897241, 0.2839980895585521]"
66	297.203125	233.8671875	68	212	10	"{11, 46, 59, 60}"	"RGBColor[0.640691664771893, 0.7433356406584254, 0.338428129160867]"
66	297.203125	251.1171875	61	271	10	"{11, 46, 59, 60}"	"RGBColor[0.640691664771893, 0.7433356406584254, 0.338428129160867]"
