0 0 0          
0 -2 0          
3 2 0          
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
1 0 -1.135 0 1 1.17 {} Color 1 TrackId TrackColor 0 0 0
2 0.750003 -1.135 0 2 0.584984 {1} Color 1 TrackId TrackColor 0 0 0
3 -0.749997 -1.135 0 2 0.584989 {1} Color 1 TrackId TrackColor 0 0 0
4 -1.12559 -1.13431 0 3 0.293074 "{1, 3}" Color 1 TrackId TrackColor 0 0 0
5 -0.376779 -1.13277 0 3 0.295375 "{1, 3}" Color 1 TrackId TrackColor 0 0 0
6 1.1244 -1.13424 0 3 0.294111 "{1, 2}" Color 1 TrackId TrackColor 0 0 0
7 0.373218 -1.1327 0 3 0.296412 "{1, 2}" Color 1 TrackId TrackColor 0 0 0
10 0.920198 -1.11704 0 18 0.164423 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.919106 -1.11592 0 19 0.165558 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.918013 -1.11479 0 20 0.166692 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.916921 -1.11366 0 21 0.167825 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.915828 -1.11254 0 22 0.168957 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.914736 -1.11141 0 23 0.170088 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.913643 -1.11028 0 24 0.171218 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.912551 -1.10916 0 25 0.172347 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.911458 -1.10803 0 26 0.173474 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.910366 -1.10691 0 27 0.174601 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.909273 -1.10578 0 28 0.175727 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.908181 -1.10465 0 29 0.176851 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.907088 -1.10353 0 30 0.177975 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.905995 -1.1024 0 31 0.179097 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.904903 -1.10127 0 32 0.180219 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.90381 -1.10015 0 33 0.181339 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.902718 -1.09902 0 34 0.182458 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.901625 -1.0979 0 35 0.183576 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.843651 -1.07839 0 36 0.202185 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.842621 -1.07715 0 37 0.203149 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.84159 -1.0759 0 38 0.204108 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.84056 -1.07465 0 39 0.205065 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.839529 -1.0734 0 40 0.206017 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.838499 -1.07215 0 41 0.206966 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.837468 -1.0709 0 42 0.207912 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.836438 -1.06965 0 43 0.208854 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.835407 -1.06841 0 44 0.209792 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.834377 -1.06716 0 45 0.210726 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.833346 -1.06591 0 46 0.211657 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.832315 -1.06466 0 47 0.212584 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.831285 -1.06341 0 48 0.213508 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.830254 -1.06216 0 49 0.214428 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 1
11 1.31183 -1.1344 0 4 0.147229 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.31148 -1.13409 0 5 0.147732 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.31113 -1.13379 0 6 0.148235 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.31077 -1.13349 0 7 0.148737 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.31042 -1.13319 0 8 0.14924 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.31007 -1.13288 0 9 0.149743 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30972 -1.13258 0 10 0.150246 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30937 -1.13228 0 11 0.150748 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30901 -1.13198 0 12 0.151251 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30866 -1.13168 0 13 0.151754 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30831 -1.13137 0 14 0.152257 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30796 -1.13107 0 15 0.152759 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.3076 -1.13077 0 16 0.153262 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30725 -1.13047 0 17 0.153765 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.3069 -1.13016 0 18 0.154268 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30655 -1.12986 0 19 0.15477 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.3062 -1.12956 0 20 0.155273 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30584 -1.12926 0 21 0.155776 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30549 -1.12895 0 22 0.156278 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30514 -1.12865 0 23 0.156781 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30479 -1.12835 0 24 0.157284 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30444 -1.12805 0 25 0.157787 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30408 -1.12775 0 26 0.158289 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30373 -1.12744 0 27 0.158792 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30338 -1.12714 0 28 0.159295 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30303 -1.12684 0 29 0.159798 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30268 -1.12654 0 30 0.1603 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30232 -1.12623 0 31 0.160803 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30197 -1.12593 0 32 0.161306 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30162 -1.12563 0 33 0.161809 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30127 -1.12533 0 34 0.162311 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30092 -1.12503 0 35 0.162814 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30056 -1.12472 0 36 0.163317 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.30021 -1.12442 0 37 0.16382 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.29986 -1.12412 0 38 0.164322 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.29951 -1.12382 0 39 0.164825 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.29916 -1.12351 0 40 0.165328 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.2988 -1.12321 0 41 0.165831 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.29845 -1.12291 0 42 0.166333 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.2981 -1.12261 0 43 0.166836 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.29775 -1.12231 0 44 0.167339 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.29739 -1.122 0 45 0.167842 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.29704 -1.1217 0 46 0.168344 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.29669 -1.1214 0 47 0.168847 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.29634 -1.1211 0 48 0.16935 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.29599 -1.12079 0 49 0.169852 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.24188 -1.09855 0 50 0.181802 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.24152 -1.09817 0 51 0.1822 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.24117 -1.0978 0 52 0.182597 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.24081 -1.09742 0 53 0.182994 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.24045 -1.09705 0 54 0.183391 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.2401 -1.09668 0 55 0.183787 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23974 -1.0963 0 56 0.184183 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23939 -1.09593 0 57 0.184578 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23903 -1.09555 0 58 0.184973 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23867 -1.09518 0 59 0.185367 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23832 -1.0948 0 60 0.18576 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23796 -1.09443 0 61 0.186154 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23761 -1.09406 0 62 0.186546 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23725 -1.09368 0 63 0.186938 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23689 -1.09331 0 64 0.18733 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23654 -1.09293 0 65 0.187721 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23618 -1.09256 0 66 0.188112 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23583 -1.09218 0 67 0.188503 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23547 -1.09181 0 68 0.188892 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23511 -1.09144 0 69 0.189282 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23476 -1.09106 0 70 0.189671 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.2344 -1.09069 0 71 0.190059 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23405 -1.09031 0 72 0.190447 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23369 -1.08994 0 73 0.190834 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23334 -1.08956 0 74 0.191221 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
11 1.23298 -1.08919 0 75 0.191607 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
