41 -5 2 #Rotation x y z       
400.9 120.3 -306 #Center of root x y z     
689 393 200 #Dimension of raw data set x y z   
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
1122 300 142.0263671875 123 1 10 {} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 {1122} "RGBColor[0., 1., 0.]" 4 0 0
1 262.412109375 142.9235026042 123 44 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 260.6178385417 142.0263671875 123 45 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 258.8235677083 142.0263671875 123 46 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 253.4407552083 140.2320963542 123 47 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 257.9264322917 142.9235026042 123 48 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 264.2063802083 142.9235026042 123 49 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 262.412109375 140.2320963542 123 50 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 263.3092447917 140.2320963542 123 51 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 265.103515625 140.2320963542 123 52 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 265.103515625 140.2320963542 123 53 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 268.6920572917 138.4378255208 123 54 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 269.5891927083 138.4378255208 123 55 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 274.0748697917 137.5406901042 123 56 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 273.177734375 136.6435546875 123 57 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 280.3548177083 139.3349609375 123 58 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 277.6634114583 136.6435546875 123 59 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 277.6634114583 136.6435546875 123 60 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 277.6634114583 136.6435546875 123 61 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 273.177734375 137.5406901042 123 62 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 272.2805989583 136.6435546875 123 63 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 266.0006510417 141.1292317708 123 64 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 266.8977864583 139.3349609375 123 65 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 267.794921875 138.4378255208 123 66 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 268.6920572917 136.6435546875 123 67 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 274.0748697917 136.6435546875 123 68 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 273.177734375 136.6435546875 123 69 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 273.177734375 136.6435546875 123 70 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 274.0748697917 137.5406901042 123 71 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 274.9720052083 138.4378255208 123 72 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 278.560546875 138.4378255208 123 73 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 278.560546875 138.4378255208 123 74 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
