0 0 0 #Rotation x y z
0 0 0 #Center of root x y z
1 1 1 #Dimension of raw data set x y z
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup
40 60.7470703125 149.6684570313 123 132 10 "{6, 35}" "RGBColor[0.7514443909918955, 0.7314792016944365, 0.27929091529703287]" 6 "{6, 1, 2}" "RGBColor[1., 1., 0.5019607843137255]" 4
40 4.6728515625 132.2231445313 109 179 10 "{6, 35}" "RGBColor[0.7514443909918955, 0.7314792016944365, 0.27929091529703287]" 6 "{6, 1, 2}" "RGBColor[1., 1., 0.5019607843137255]" 4
37 231.4619140625 165.2446289063 130 156 10 "{6, 36}" "RGBColor[0.7514443909918955, 0.7314792016944365, 0.27929091529703287]" 6 "{6, 2, 1}" "RGBColor[1., 1., 0.5019607843137255]" 4
37 236.4462890625 166.4907226563 117 179 10 "{6, 36}" "RGBColor[0.7514443909918955, 0.7314792016944365, 0.27929091529703287]" 6 "{6, 2, 1}" "RGBColor[1., 1., 0.5019607843137255]" 4
38 232.7080078125 185.8051757813 130 156 10 "{6, 36}" "RGBColor[0.7514443909918955, 0.7314792016944365, 0.27929091529703287]" 6 "{6, 2, 2}" "RGBColor[1., 1., 0.5019607843137255]" 4
38 232.7080078125 183.9360351563 122 179 10 "{6, 36}" "RGBColor[0.7514443909918955, 0.7314792016944365, 0.27929091529703287]" 6 "{6, 2, 2}" "RGBColor[1., 1., 0.5019607843137255]" 4
7 538.6240234375 155.8989257813 116 1 10 {} "RGBColor[0.24843015898417714, 0.38599500064029874, 0.8134088160316432]" 7 {7} "RGBColor[1., 1., 0.5019607843137255]" 4
7 380.9931640625 185.8051757813 128 52 10 {} "RGBColor[0.24843015898417714, 0.38599500064029874, 0.8134088160316432]" 7 {7} "RGBColor[1., 1., 0.5019607843137255]" 4
41 401.5537109375 188.9204101563 128 53 10 {7} "RGBColor[0.24843015898417714, 0.38599500064029874, 0.8134088160316432]" 7 "{7, 1}" "RGBColor[1., 1., 0.5019607843137255]" 4
41 423.3603515625 175.8364257813 142 117 10 {7} "RGBColor[0.24843015898417714, 0.38599500064029874, 0.8134088160316432]" 7 "{7, 1}" "RGBColor[1., 1., 0.5019607843137255]" 4
42 359.8095703125 191.4125976563 128 53 10 {7} "RGBColor[0.24843015898417714, 0.38599500064029874, 0.8134088160316432]" 7 "{7, 2}" "RGBColor[1., 1., 0.5019607843137255]" 4
42 326.7880859375 177.7055664063 140 134 10 {7} "RGBColor[0.24843015898417714, 0.38599500064029874, 0.8134088160316432]" 7 "{7, 2}" "RGBColor[1., 1., 0.5019607843137255]" 4
45 444.5439453125 175.2133789063 142 118 10 "{7, 41}" "RGBColor[0.24843015898417714, 0.38599500064029874, 0.8134088160316432]" 7 "{7, 1, 1}" "RGBColor[1., 1., 0.5019607843137255]" 4
