92;0;16;#Rotation;x;y;z;;;;;;;
315.6;117.3;-130.8;#Center;of;root;x;y;z;;;;;
682;406;130;#Dimension;of;raw;data;set;x;y;z;;;
ObjectID;X;Y;Z;Timepoint;Radius;Precursors;Color;Lineage;TrackID;TrackColor;TrackGroup;Layer;DivisionType
24;276.0634765625;208.6928710938;81;239;10;{6, 10, 12, 13, 22};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
24;274.7314453125;220.6811523438;86;319;10;{6, 10, 12, 13, 22};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;2
25;272.7333984375;232.0034179688;84;320;10;{6, 10, 12, 13, 22, 24};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
25;274.7314453125;237.9975585938;84;350;10;{6, 10, 12, 13, 22, 24};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
26;276.0634765625;216.6850585938;91;320;10;{6, 10, 12, 13, 22, 24};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
26;272.7333984375;219.3491210938;93;350;10;{6, 10, 12, 13, 22, 24};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
27;246.7587890625;171.3959960938;77;239;10;{6, 10, 12, 13, 21};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
27;253.4189453125;175.3920898438;76;299;10;{6, 10, 12, 13, 21};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;1
28;221.4501953125;180.0541992188;77;239;10;{6, 10, 12, 13, 21};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
28;179.4912109375;202.0327148438;76;301;10;{6, 10, 12, 13, 21};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;1
29;178.8251953125;195.3725585938;75;302;10;{6, 10, 12, 13, 21, 28};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 1, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
29;180.1572265625;194.0405273438;75;350;10;{6, 10, 12, 13, 21, 28};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 1, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
30;173.4970703125;210.0249023438;79;302;10;{6, 10, 12, 13, 21, 28};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 1, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
30;142.8603515625;225.3432617188;75;350;10;{6, 10, 12, 13, 21, 28};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 1, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
31;251.4208984375;164.7358398438;75;300;10;{6, 10, 12, 13, 21, 27};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 1, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
31;254.0849609375;164.7358398438;76;350;10;{6, 10, 12, 13, 21, 27};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 1, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
32;255.4169921875;183.3842773438;77;300;10;{6, 10, 12, 13, 21, 27};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 1, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
32;257.4150390625;186.7143554688;77;350;10;{6, 10, 12, 13, 21, 27};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 1, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
38;377.2978515625;130.7690429688;67;75;10;{6, 9};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
38;381.9599609375;139.4272460938;71;132;10;{6, 9};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;1
39;355.3193359375;154.7456054688;67;75;10;{6, 9};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
39;339.3349609375;160.0737304688;70;128;10;{6, 9};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;1
40;335.3388671875;150.0834960938;70;129;10;{6, 9, 39};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
40;334.6728515625;146.0874023438;75;197;10;{6, 9, 39};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;2
41;343.9970703125;168.7319335938;70;129;10;{6, 9, 39};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
41;349.9912109375;166.0678710938;76;181;10;{6, 9, 39};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;0
42;342.6650390625;172.0620117188;76;182;10;{6, 9, 39, 41};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
42;350.6572265625;188.0463867188;80;235;10;{6, 9, 39, 41};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;1
