ID Time CellCorners
12 8 -0.497511,-0.907001,0,-0.5,-1.10814,0,-0.985079,-1.05276,0,-0.999777,-1.04746,0,-0.995021,-0.926897,0
11 8 -0.999777,-1.04746,0,-1.5,-1.12,0,-1.5,-0.94,0,-0.995021,-0.926897,0
10 8 1.5,-1.12,0,1.5,-1.33,0,0.999999,-1.33,0,0.999999,-1.19672,0
9 8 0.999999,-1.33,0,0.5,-1.33,0,0.5,-1.10801,0,0.999999,-1.19672,0
8 8 0.999999,-1.19672,0,0.5,-1.10801,0,0.497511,-0.907064,0,1.5,-0.94,0,1.5,-1.12,0
22 9 0,-1.09536,0,0,-1.33,0,-0.257586,-1.33,0,-0.240197,-1.06713,0
21 9 -0.257586,-1.33,0,-0.5,-1.33,0,-0.5,-1.10644,0,-0.249982,-1.06387,0,-0.240197,-1.06713,0
20 9 0,-0.89072,0,0,-1.09536,0,-0.240197,-1.06713,0,-0.249982,-1.06387,0,-0.24912,-0.893949,0
19 9 -0.249982,-1.06387,0,-0.5,-1.10644,0,-0.497156,-0.902287,0,-0.24912,-0.893949,0
18 9 0.5,-1.1063,0,0.5,-1.33,0,0.242424,-1.33,0,0.259779,-1.06736,0
17 9 0.242424,-1.33,0,0,-1.33,0,0,-1.09536,0,0.249997,-1.06362,0,0.259779,-1.06736,0
16 9 0.497156,-0.902359,0,0.5,-1.1063,0,0.259779,-1.06736,0,0.249997,-1.06362,0,0.249107,-0.893961,0
15 9 0.249997,-1.06362,0,0,-1.09536,0,0,-0.89072,0,0.249107,-0.893961,0
14 9 -0.5,-1.10644,0,-0.5,-1.33,0,-1.00913,-1.33,0,-0.98505,-1.05202,0
13 9 -1.00913,-1.33,0,-1.5,-1.33,0,-1.5,-1.12,0,-0.999739,-1.04673,0,-0.98505,-1.05202,0
12 9 -0.497156,-0.902287,0,-0.5,-1.10644,0,-0.98505,-1.05202,0,-0.999739,-1.04673,0,-0.99431,-0.925024,0
11 9 -0.999739,-1.04673,0,-1.5,-1.12,0,-1.5,-0.94,0,-0.99431,-0.925024,0
10 9 1.5,-1.12,0,1.5,-1.33,0,0.999999,-1.33,0,0.999999,-1.19643,0
9 9 0.999999,-1.33,0,0.5,-1.33,0,0.5,-1.1063,0,0.999999,-1.19643,0
8 9 0.999999,-1.19643,0,0.5,-1.1063,0,0.497156,-0.902359,0,1.5,-0.94,0,1.5,-1.12,0
22 10 0,-1.09228,0,0,-1.33,0,-0.257586,-1.33,0,-0.240196,-1.06433,0
