0 0 0          
0 -2 0          
3 2 0          
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
1 0 -1.135 0 1 1.17 {} Color 1 TrackId TrackColor 0 0 0
2 -0.750003 -1.135 0 2 0.584984 {1} Color 1 TrackId TrackColor 0 0 0
3 0.749997 -1.135 0 2 0.584989 {1} Color 1 TrackId TrackColor 0 0 0
4 1.125 -1.13423 0 3 0.29365 "{1, 3}" Color 1 TrackId TrackColor 0 0 0
5 0.374998 -1.1327 0 3 0.295957 "{1, 3}" Color 1 TrackId TrackColor 0 0 0
6 -1.125 -1.13424 0 3 0.293631 "{1, 2}" Color 1 TrackId TrackColor 0 0 0
7 -0.375007 -1.13271 0 3 0.295939 "{1, 2}" Color 1 TrackId TrackColor 0 0 0
10 -1.31059 -1.13105 0 15 0.150704 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.31042 -1.13075 0 16 0.151064 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.31025 -1.13044 0 17 0.151423 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.31008 -1.13014 0 18 0.151782 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30991 -1.12984 0 19 0.152142 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30975 -1.12953 0 20 0.152501 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30958 -1.12923 0 21 0.15286 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30941 -1.12893 0 22 0.15322 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30924 -1.12862 0 23 0.153579 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.30907 -1.12832 0 24 0.153939 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
